[-10, 2, 24, -7, 45, 7, 23, 9, 15, 7, 43, 24, -2, -4, 3, -3, 5, -7, 9, -2, 5, -2, 14, 28, -1, 28, -6, 33, 7, 27, 12, 11, 26, 13, 0, 38, 41, -3, -1, -1, -9, -5, 45, 24, 48, -2, 29, 47, 28, -9, 6, -8, 44, 1, -7, -7, 31, 50, 3, 26, 0, 2, 1, 22, -10, 15, 30, 19, 25, 30, 38, 17, -6, 21, 25, 15, -4, 28, 30, 50, 48, 36, 50, 10, 49, 49, 49, 25, 33, 0, 43, 28, 44, 34, 12, 12, 30, 16, 49, 48]
[-10, 2, 0, -7, 1, 7, -10, 9, 15, 7, 25, 24, -2, -4, -6, -3, 5, -7, -4, -2, 5, -2, 14, 28, -1, 10, -6, 33, 7, 25, 12, 0, 26, 13, 0, 34, 12, -3, -1, -1, -9, -5, 45, 24, 48, -2, 29, 47, 28, -9, 6, -8, 44, 1, -7, -7, 31, 50, 3, 26, 24, 2, 45, 22, 23, 15, 30, 19, 43, 30, 38, 17, 3, 21, 25, 15, 9, 28, 30, 50, 48, 36, 50, 28, 49, 49, 49, 27, 33, 11, 43, 28, 44, 38, 41, 12, 30, 16, 49, 48]
[-10, -2, 0, -7, 1, -9, -10, -8, 15, 1, -7, -7, -2, -4, -6, -3, 5, -7, -4, -2, 5, -2, 14, 19, -1, 10, -6, 17, 3, 21, 12, 0, 9, 13, 0, 34, 12, -3, -1, -1, -9, -5, 45, 24, 33, 2, 29, 28, 28, 7, 6, 9, 30, 7, 25, 24, 31, 50, 3, 26, 24, 2, 45, 22, 23, 15, 30, 28, 43, 30, 38, 33, 7, 25, 25, 15, 26, 28, 30, 50, 48, 36, 50, 28, 49, 49, 49, 27, 48, 11, 43, 47, 44, 38, 41, 12, 44, 16, 49, 48]
[-10, -2, 0, -7, -3, -9, -10, -9, -5, 1, -7, -7, -2, -4, -6, -3, 5, -7, -4, -2, 5, -2, 14, 19, -1, 3, -6, 17, 2, 21, 12, 0, 9, 13, 0, 34, 12, 1, -1, -1, -8, 15, 15, 24, 28, 2, 29, 28, 28, 7, 6, 9, 30, 7, 25, 24, 11, 43, 10, 26, 24, 3, 12, 22, 16, 15, 30, 28, 43, 30, 38, 33, 7, 25, 25, 45, 26, 33, 30, 50, 48, 36, 50, 28, 49, 49, 49, 27, 48, 31, 50, 47, 44, 38, 41, 45, 44, 23, 49, 48]
[-10, -6, 0, -7, -3, -9, -10, -9, -5, 0, -7, -7, -2, -4, -6, -8, 5, -7, -4, -2, 2, -2, 14, 19, -1, 3, -2, 17, 2, 21, 12, 0, 9, 10, 1, 24, 3, 1, -1, -1, -3, 15, 15, 24, 28, 5, 29, 7, 25, 7, 6, 9, 30, 7, 25, 24, 11, 43, 13, 26, 34, 12, 12, 22, 16, 15, 30, 28, 38, 30, 38, 33, 23, 28, 25, 45, 26, 33, 30, 50, 48, 36, 50, 28, 49, 49, 49, 27, 48, 31, 50, 47, 44, 43, 41, 45, 44, 28, 49, 48]
[-10, -6, -2, -7, -3, -9, -10, -9, -5, 0, -7, -7, -2, -4, -6, -8, 5, -7, -4, -2, -1, -3, 14, 15, -1, 3, -2, 17, 2, 21, 7, 0, 9, 10, 1, 24, 3, 1, -1, 2, 0, 15, 12, 12, 22, 5, 15, 7, 25, 12, 6, 9, 30, 7, 25, 24, 11, 26, 13, 26, 34, 19, 24, 28, 16, 29, 30, 28, 27, 30, 31, 33, 23, 28, 25, 41, 43, 33, 28, 49, 48, 36, 50, 28, 49, 49, 49, 38, 48, 38, 50, 47, 44, 43, 45, 45, 44, 30, 50, 48]
[-10, -8, -2, -7, -4, -9, -10, -9, -5, 0, -7, -7, -2, -4, -6, -6, 5, -7, -3, -2, -1, -3, 3, 1, -1, 2, -2, 15, 2, 12, 7, 0, 9, 7, 1, 12, 6, 9, -1, 3, 0, 17, 11, 21, 13, 5, 15, 10, 24, 24, 14, 15, 30, 7, 25, 24, 12, 26, 22, 26, 25, 19, 25, 28, 16, 29, 30, 28, 27, 28, 31, 33, 23, 28, 34, 38, 43, 33, 28, 43, 45, 36, 44, 30, 49, 48, 49, 38, 48, 41, 50, 47, 44, 49, 48, 45, 50, 30, 50, 49]
[-10, -8, -2, -7, -6, -9, -10, -9, -5, -2, -7, -7, -2, -4, -4, -6, -2, -7, -3, 0, -1, -3, 3, 1, -1, 2, 5, 9, -1, 3, 0, 0, 9, 7, 1, 5, 6, 10, 2, 12, 7, 15, 11, 7, 13, 12, 12, 15, 22, 24, 14, 17, 25, 21, 16, 24, 15, 26, 24, 26, 25, 19, 23, 28, 25, 29, 30, 28, 27, 28, 31, 33, 30, 28, 34, 38, 43, 33, 28, 41, 45, 36, 44, 30, 48, 45, 49, 30, 48, 43, 50, 47, 44, 49, 49, 48, 50, 38, 50, 49]
[-10, -8, -2, -7, -7, -9, -10, -9, -6, -2, -7, -6, -2, -4, -4, -5, -2, -7, -3, 0, -1, -3, 3, 0, -1, 2, 5, 1, -1, 3, 1, 0, 9, 7, 9, 5, 6, 10, 2, 12, 7, 15, 11, 7, 13, 12, 12, 15, 22, 15, 14, 17, 25, 21, 16, 23, 24, 25, 24, 26, 25, 19, 24, 28, 26, 29, 28, 28, 27, 28, 31, 28, 30, 30, 34, 38, 30, 33, 33, 41, 30, 36, 43, 43, 47, 44, 49, 45, 48, 44, 38, 48, 45, 49, 49, 48, 50, 50, 50, 49]
[-10, -10, -9, -7, -7, -9, -8, -2, -6, -4, -7, -6, -7, -4, -2, -5, -3, -2, -3, -1, -1, -2, 1, -1, 0, 1, 0, 3, 0, 3, 2, 5, 9, 2, 9, 5, 6, 10, 7, 12, 7, 12, 11, 7, 13, 12, 15, 15, 21, 15, 14, 17, 25, 22, 16, 23, 19, 24, 24, 26, 25, 24, 25, 27, 26, 29, 28, 28, 28, 28, 31, 28, 30, 30, 34, 30, 30, 33, 33, 41, 38, 36, 43, 43, 44, 38, 48, 45, 48, 47, 44, 49, 45, 49, 49, 48, 50, 50, 50, 49]
